Sentence		Source
Պատմում էր իր…		Զազունյան 1890
- Ո՞վքեր են մոտը նստած կանայք,- հարցրեց էմման:		Զազունյան 1890
- Չգիտեմ, միայն գիտեմ, որ նա ոչ կին ունի և ոչ՝ ազգական:		Զազունյան 1890
Է՜հ, զինվորական է, էլի՛:		Զազունյան 1890
Եթե ինձ հարցնես, զինվորականներին այդպես ավելի հարմար է:		Զազունյան 1890
- Որ չամուսնանան և մեկի տեղ երկու անբարոյական կանանց հե՞տ ման գան,- նկատեց էմման:		Զազունյան 1890
- Ինչո՞ւ անպատճառ անբարոյական,- ասաց նա:		Զազունյան 1890
- Ինչպես տեսնում եմ…		Զազունյան 1890
Նա չվերջացրեց և գլուխն արագ բարձրացրեց.		Զազունյան 1890
նրա կողքին աթոռի մոտ կանգնած էր Զազունյանը:		Զազունյան 1890
- Պա՜հ,- կանչեց նա,- այս ո՞րտեղից…		Զազունյան 1890
Էմման նույնպես արագ բարձրացրեց գլուխը և նայեց Զազունյանին:		Զազունյան 1890
- Ոչ, այս մի քանի աստիճանը իջա,- պատասխանեց ժպտալով Զազունյանը, ցույց տալով դահլիճի մուտքը:		Զազունյան 1890
Նա սեղմեց դեռ էմմայի, հետո Զաքարի ձեռքը:		Զազունյան 1890
- Այ քեզ սյուրպրիզ,- կանչեց ուրախացած Զաքարը…		Զազունյան 1890
Ախր ես քեզ համար տոմսակ էի վերցրել:		Զազունյան 1890
Այսօր երկու անգամ եկա հյուրանոց՝ սպասեցի քեզ, բայց դու չկայիր:		Զազունյան 1890
- Բայց ո՞րտեղ էիր, ինչո՞ւ այսքան ուշացար, տեղդ ո՞րտեղ է:		Զազունյան 1890
Եկ իմ տեղս նստիր, ես կկանգնեմ:		Զազունյան 1890
Հա՛, այս աթոռն էլ խո մերն է.		Զազունյան 1890
մի կարգումն առա, որ միասին նստենք:		Զազունյան 1890
- Չէ, միևնույն է, նստիր, շատ նստելով հոգնել եմ:		Զազունյան 1890
Ես տեղս կգտնեմ, երկրորդ կարգումն է կարծեմ:		Զազունյան 1890
- Հը՞, ինչո՞ւ այսքան ուշացար:		Զազունյան 1890
- Մորաքրոջս տանն էի:		Զազունյան 1890
Այստեղ մի մորքուր անեմ, մի շատ բարի ծեր կին է.		Զազունյան 1890
ապրում է փեսայի և աղջկա տանը:		Զազունյան 1890
Փեսան տարավ իրենց տուն, խեղճ կինը շատ ուրախացավ:		Զազունյան 1890
Խեղճը կարծելիս է եղել, թե ես արդեն վաղուց մեռել եմ:		Զազունյան 1890
Մինչև հիմա էլ չէր թողնում:		Զազունյան 1890
- Այդպես, հը՞,- ասաց Զաքարը:		Զազունյան 1890
- Իհարկե, քեզ պես թափառական քրոջ որդի որ ունի, ինչո՞ւ պետք է քեզնից ճիշտ տեղեկություններ չունենար:		Զազունյան 1890
Բայց ես բոլորովին չէի կարծում, թե դու այս գիշեր կգաս կոնցերտ:		Զազունյան 1890
- Ես ի՞նչ գիտեմ:		Զազունյան 1890
Հա՛,- հանկարծ կանչեց Զաքարը,- Զագորսկին այստեղ է:		Զազունյան 1890
Տեսնո՞ւմ ես օթյակում, երկու կանանց հետ:		Զազունյան 1890
- Հա,- ասաց նա անաարբեցությամբ,- գիտեմ…		Զազունյան 1890
- Տեսնո՞ւմ ես, անպիտանը փոխ-գնդապետության աստիճան է ստացել, և պաշտոնով տեղափոխել են այստեղ,- շարունակեց Զաքարը:		Զազունյան 1890
- Այսօր պատահել է քեզ պրոսպեկտի վրա, բայց դու չես տեսել նրան:		Զազունյան 1890
Ես տիկնոջ հետ էի:		Զազունյան 1890
Նա ինձ բարևել է, բայց ես չեմ նկատել:		Զազունյան 1890
Տիկինն ասաց ինձ այդ:		Զազունյան 1890
- Չնայելով, որ Թեոդոսիայում ձեր մեջ ինչ-որ անախորժություն է պատահել, չասաց, թե ինչ անախորժություն.		Զազունյան 1890
գոնե ես սիրում եմ նրա բաց բնավորությունը և խիզախությունը:		Զազունյան 1890
Էմմա, ուզո՞ւմ ես քեզ ծանոթացնեմ նրա հետ,- դարձավ նա կնոջը:		Զազունյան 1890
Զազունյան, դուք բոլորովին բացառություն եք կազմում:		Զազունյան 1890
Բայց Զազունյանը չտեսավ այդ հայացքը.		Զազունյան 1890
նա մռայլ մտախոհությամբ նայում էր դիրիժորին, որ հենց նոր մտել և նստել էր իր տեղը:		Զազունյան 1890
Լսվեց երրորդ զանգի ձայնը.		Զազունյան 1890
վարագույրը պետք է բարձրանար:		Զազունյան 1890
Դահլիճում լռություն տիրեց:		Զազունյան 1890
- Ուրիշ անգամ, ուրիշ անգամ,- մեքենայաբար պատասխանեց Զազունյանը և գնաց իր տեղը նստելու երկրորդ կարգում:		Զազունյան 1890
Կոնցերտի երկրորդ բաժինն սկսվեց:		Զազունյան 1890
Այնինչ էմմայի բոլոր ուշքն ու միտքը Զազունյանի կողմն էր:		Զազունյան 1890
Կոնցերտի այդ բաժինն էլ էմմայի համար այնպես վերջացավ, ինչպես առաջինը.		Զազունյան 1890
նա ոչինչ չիմացավ, թե ովքեր և ինչ երգեցին:		Զազունյան 1890
Նա այն ժամանակ միայն ուշքի եկավ, երբ սկսեցին ծափահարել:		Զազունյան 1890
Զաքարը վեր կացավ և գնաց Զազունյանի մոտ, որը դուրս էր գալիս աթոռների շարքից:		Զազունյան 1890
- Արսեն,- ասաց նա,- եկ գնանք՝ հաշտեցնեմ քեզ Զագորսկու հետ.		Զազունյան 1890
խռով մնալը լավ չէ:		Զազունյան 1890
Զազունյանը հոնքերը կիտեց:		Զազունյան 1890
- Ինչպես կամենում ես, ինչպես կամենում ես,- շտապեց վրա բերել Զաքարը:		Զազունյան 1890
- Բայց ճշմարիտն ասած, ինձ շատ է հետաքրքրում…		Զազունյան 1890
- Դուրս չե՞ք գալիս,- հարցրեց Զաքարը:		Զազունյան 1890
- Դուրս չե՞ք գնում, տիկին,- իր կողմից հարցրեց Զազունյանը էմմային:		Զազունյան 1890
Էմման նայեց նրան և տեսավ, որ նա մտադիր չէ դուրս գալու:		Զազունյան 1890
- Ո՛չ,- ասաց նա:		Զազունյան 1890
- Իսկ դո՞ւ, Արսեն:		Զազունյան 1890
- Ո՛չ,- պատասխանեց Զազունյանը:		Զազունյան 1890
- Իսկ ես գնում եմ,- ասաց նա և դուրս գնաց:		Զազունյան 1890
Զազունյանը նստեց կողքի աթոռի ծայրին, որքան կարելի էր էմմայից հեռու:		Զազունյան 1890
- Ի՞նչպես հավանեցիք այս բաժինը, տիկին,- հարցրեց նա:		Զազունյան 1890
- Չգիտեմ, ճշմարիտ,- պատասխանեց նա.		Զազունյան 1890
- Դուք թատրոն մի՞շտ հաճախում եք,- հարցրեց դարձյալ Զազունյանը, որպեսզի խոսակցությունն առաջ տանի:		Զազունյան 1890
Կոնցերտը վերջանալուց հետո Զազունյանը հենց թատրոնի դռների մոտ բաժանվեց իր բարեկամներից:		Զազունյան 1890
Կինը ոչինչ չպատասխանեց նրան.		Զազունյան 1890
նա միայն ուղղեց գլխի շալը և կուչ եկավ կառքի անկյունը:		Զազունյան 1890
Հետևյալ շաբաթ Զազունյանը գնաց Շ…		Զազունյան 1890
իր գործի քննությանը ներկա լինելու համար:		Զազունյան 1890
Երկաթուղու կայարանում նրան ճանապարհ դրին Զաքարն ու Էմման և նրա մորաքրոջ փեսան ու աղջիկը:		Զազունյան 1890
Բաժանվելիս Զաքարն ասաց.		Զազունյան 1890
- Մեզ չմոռանաս, Արսեն ջան, նամակ գրես:		Զազունյան 1890
- Չէ, այդ տանջանքից ինձ ազատ պահիր.		Զազունյան 1890
ես շատ ծույլ եմ նամակներ գրելում,- պատասխանեց Զազունյանը:		Զազունյան 1890
- Կամ թե հեռագրիր, երբ գործը տանես.		Զազունյան 1890
նկատի ունեցիր, որ մենք միշտ անհամբերությամբ կսպասենք:		Զազունյան 1890
Եվ նա պինդ համբուրեց Զազունյանի շրթունքը:		Զազունյան 1890
Այնինչ էմման բաժանվեց առանց մի խոսք անգամ արտասանելու:		Զազունյան 1890
Մորաքրոջ աղջկա և փեսայի հետ նա բաժանվեց ինչպես սերտ բարեկամներից:		Զազունյան 1890
Երևում էր, որ այդ մի քանի օրվա մեջ նա կատարելապես գրավել էր նրանց համակրությունը:		Զազունյան 1890
Նրանք խնդրեցին, որ նա, երբ Շ…		Զազունյան 1890
-ից վերադառնա, ուղղակի իրենց տանն իջնի:		Զազունյան 1890
Զազունյանի մեկնելուց հետո էմմայի համար աշխարհը կարծես դատարկվեց:		Զազունյան 1890
Դա Զազունյանի պատկերն էր:		Զազունյան 1890
Սաստիկ թախիծը պաշարել էր նրան:		Զազունյան 1890
մի՞թե այս սեր է.		Զազունյան 1890
մի՞թե ես սիրահարված եմ նրա վրա:		Զազունյան 1890
Ո՛չ, ո՛չ, այդ անկարելի է, այս սեր չէ, ես սիրահարված չեմ նրա վրա:		Զազունյան 1890
Մի՞թե սրտիս տերն ինքս չեմ:		Զազունյան 1890
Կամ ինչո՞ւ պետք է սիրեմ, ի՞նչ իրավունքով.		Զազունյան 1890
օտարի հետ ի՞նչ գործ ունեմ:		Զազունյան 1890
Ոչ, այս սեր չէ, այս ուրիշ բան է.		Զազունյան 1890
Ես կհալածեմ նրան սրտիցս, կհալածեմ…		Զազունյան 1890
Նա հուսահատվել էր:		Զազունյան 1890
Դրանից դուրս նա ուրիշ ոչինչ չէր կամենում:		Զազունյան 1890
Ամուսնացավ, որովհետև պետք է, վերջապես, ամուսնանար:		Զազունյան 1890
Նա ամուսնացավ և ապրում էր խաղաղ ու երջանիկ:		Զազունյան 1890
Հորիզոնը միշտ պարզ էր, արևը միշտ պայծառ էր փայլում:		Զազունյան 1890
Ուրիշ ի՞նչ էր հարկավոր:		Զազունյան 1890
Էմման իր բոլոր սերն ու խանդը նվիրեց իր այդ միակ զավակին:		Զազունյան 1890
Եվ, փառք աստծո, ուրիշ ի՞նչ էր հարկավոր:		Զազունյան 1890
Ի՞նչպես կատարվեց այդ բոլորը, ի՞նչ հրաշքով, որի դեմը նա վաղօրոք չկարողացավ առնել:		Զազունյան 1890
Օրերն անցնում էին սպանիչ դանդաղությամբ:		Զազունյան 1890
Զաքարի գլխին, կարծես, միանգամից կրակ էր թափվել:		Զազունյան 1890
Ուրախություն, ծիծաղ, կատակ, ամեն ինչ մոռացել էր:		Զազունյան 1890
Նա ման էր գալիս խենթի նման:		Զազունյան 1890
Գլուխ էր կոտրում, թե ինչ է պատահում կնոջը, ոչինչ չէր կարողանում իմանալ:		Զազունյան 1890
Նա հուսահատվել էր, չգիտեր ինչ աներ:		Զազունյան 1890
Կնոջ անկողին ընկնելը նրա համար կատարյալ մահ էր, մահից էլ ավելի:		Զազունյան 1890
Նա դիմեց ընկեր բժիշկներին:		Զազունյան 1890
Էմմայի միակ խնդիրն այն էր, որ իրեն բժիշկ հարկավոր չէ, որ իրեն հանգիստ թողնեն:		Զազունյան 1890
Երևում էր, որ շատ էր տանջվում:		Զազունյան 1890
Ենթադրությունները մեկը մյուսի ետևից ծնվում էին նրա գլխում, բայց ոչ մի բավարար հետևանքի չէին հասցնում.		Զազունյան 1890
հանելուկը մնում էր հանելուկ:		Զազունյան 1890
մրսածին ես եփած էլ կճանաչեմ, չե՞մ տեսնում, որ այստեղ ուրիշ բան կա…		Զազունյան 1890
ահա երկու շաբաթ է, որ ոտի վրա հալվում է.		Զազունյան 1890
ինչո՞ւ- ահա հանելուկ…		Զազունյան 1890
Նա տարակուսանքով վեր քաշեց ուսերը, վեր կացավ և սկսեց ետ ու առաջ քայլել սենյակում:		Զազունյան 1890
Այդ րոպեին դուռը արագ բացվեց, և շտապով ներս մտավ մանկահասակ մի կին:		Զազունյան 1890
էմմաս հիվա՞նդ է,- անհանգստությամբ կանչեց նա:		Զազունյան 1890
Զաքարը կանգ առավ և զարմանքով նայեց նրա դեմքին:		Զազունյան 1890
- Տիկի՛ն Աննա,- բացականչեց նա ուրախացած:		Զազունյան 1890
ի՛նչ լավ ժամանակին եկաք:		Զազունյան 1890
Նրանք ամուր սեղմեցին իրար ձեռքը:		Զազունյան 1890
Աննան էմմայի ընկերուհին էր:		Զազունյան 1890
- Էմմաս, իմ Էմման ո՞րտեղ է, պ.		Զազունյան 1890
Զաքար,- նույն անհանգստությամբ ասաց նա:		Զազունյան 1890
- Ծառային հարցնում եմ, ասում է՝ հիվանդ պառկած է:		Զազունյան 1890
Ինչո՞ւ է հիվանդ:		Զազունյան 1890
Գնանք, տարեք ինձ նրա մոտ.		Զազունյան 1890
ո՞րտեղ է նա:		Զազունյան 1890
- Այո՛, այս մի քանի օր է, ինչ պառկած է,- տխրությամբ հառաչեց Զաքարը:		Զազունյան 1890
- Ի՞նչն է ցավում, ինչո՞վ է հիվանդ:		Զազունյան 1890
Գնանք, տարեք շուտ ինձ նրա մոտ:		Զազունյան 1890
Նա բռնեց Զաքարի ձեռքից, համարյա քարշ տվեց իր ետևից:		Զազունյան 1890
Զաքարը տարավ նրան կնոջ սենյակը:		Զազունյան 1890
Նիհար և գունատ՝ էմման պառկած էր մահճակալի վրա:		Զազունյան 1890
Նրա մոտ դրված էր մի փոքրիկ սեղան՝ դեղերի սրվակներով:		Զազունյան 1890
Դուռը բացվելուն պես սթափվեց և նայեց ներս մտնողներին:		Զազունյան 1890
- Էմմա ջան,- բացականչեց Աննան, առաջ վազելով դեպի նա:		Զազունյան 1890
- Դու անկողնում պառկա՜ծ…		Զազունյան 1890
Նա չոքեց մահճակալի առջև, գրկեց էմմային և սկսեց համբուրել նրա գունատ շրթունքներն ու այտերը:		Զազունյան 1890
Էմման դարձավ կողքի վրա և զարմացած նայեց նրան:		Զազունյան 1890
- Այդ ի՛նչ է դրությունդ, ի՛նչ ես դարձել, ի՞նչ հիվանդանալու ժամանակ է, որ հիվանդացել ես:		Զազունյան 1890
- Վեր կաց, ինչ ես չոքել,- ասաց նա:		Զազունյան 1890
Աննան վեր կացավ և նստեց մահճակալի մոտ դրած աթոռի վրա:		Զազունյան 1890
- Հղի խո չե՞ս,- հարցրեց նա, թեքվելով դեպի նրա դեմքը և առնելով նրա ձեռքերը:		Զազունյան 1890
Էմման բացասական կերպով շարժեց դւուխը:		Զազունյան 1890
Աննան ձեռքը դրեց նրա ճակատին:		Զազունյան 1890
- Տաքություն չունես,- ասաց նա կասկածելով:		Զազունյան 1890
էմման նայեց նրան և ժպտաց:		Զազունյան 1890
- Լավացա, որ դու եկար,- ասաց նա:		Զազունյան 1890
- Փառք աստծո,- կարծես մի ծանր բեռից ազատվելով, կանչեց Զաքարը:		Զազունյան 1890
- Ինչո՞ւ վաղ չէիք գալիս,- դիմեց նա Աննային,- որ այդպիսի հրաշք գործել գիտեք:		Զազունյան 1890
- Ե՞րբ ես եկել, գալուդ մասին ինչո՞ւ առաջուց իմացում չտվիր,- հարցրեց էմման:		Զազունյան 1890
- Ինքս էլ չգիտեի, թե այսպես շուտ եմ գալու:		Զազունյան 1890
Բաթումից գնացի Քութայիս, բայց մորաքրոջս այնտեղ չգտա, գյուղ էր գնացել:		Զազունյան 1890
Էլ չուզեցի սպասել.		Զազունյան 1890
մի օր Քութայիսում մնալով, մյուս օրն, այսինքն երեկ, վեր կացա և, ահա այսօր այստեղ եմ:		Զազունյան 1890
Ուզում էի անմիջապես գալ քեզ մոտ.		Զազունյան 1890
Բայց որ գիտենաս որքա՜ն կարոտել էի քեզ, սիրելիս:		Զազունյան 1890
- Կարծեցի, թե տունը գլխիս փլվեց:		Զազունյան 1890
Նա բերում է ինձ քեզ մոտ և ահա քեզ ինչ դրության մեջ եմ գտնում:		Զազունյան 1890
Նա ծիծաղեց, և նրա աչքերում երևացին արտասուքի փայլուն կաթիլներ:		Զազունյան 1890
- Դուք էլ աչքումս փոխվել եք, պ.		Զազունյան 1890
Զաքար,- ասաց Աննան, նայելով նրա դեմքին:		Զազունյան 1890
- Ճիշտ է,- պատասխանեց Զաքարը:		Զազունյան 1890
- Դե ես ի՛նչ.		Զազունյան 1890
- Ախ, է՛մմա, է՛մմա,- հանդիմանորեն շարժեց գլուխը Աննան:		Զազունյան 1890
- Եթե վաղն ևեթ չես վեր կենալ, չգիտեմ, ճշմարիտ, ինչ կանեմ:		Զազունյան 1890
անգութ չասեմ, ապա ի՞նչ ասեմ քեզ:		Զազունյան 1890
Բժիշկ գալի՞ս է…		Զազունյան 1890
Ախ, ներողություն, պ.		Զազունյան 1890
Զաքար,- կանչեց նա ծիծաղելով,- բժիշկդ այստեղ կանգնած եք, ես ուրիշ բժիշկ եմ հարցնում:		Զազունյան 1890
- Չէ, ի՛նչ ներողություն,- ասաց Զաքարը,- ուրիշ բժիշկ է գալիս:		Զազունյան 1890
Ապա ի՞նչ իմ բանն է…		Զազունյան 1890
Այդ խոսքերի հետ նա բարձրաձայն ծիծաղեց:		Զազունյան 1890
- Կասես, որ այսուհետև էլ չգա,- ասաց էմման առանց նրան նայելու:		Զազունյան 1890
- Այո, ինձ այլևս բժիշկ հարկավոր չէ:		Զազունյան 1890
- Բայց դու դեռ թույլ ես, քեզ էլի…		Զազունյան 1890
- Ասում եմ, որ հարկավոր չէ,- պնդեց էմման:		Զազունյան 1890
- Ես ինձ հիմա լավ եմ զգում:		Զազունյան 1890
- Ինչպես ուզում ես, ինչպես ուզում ես, միայն թե դու լավ լինես:		Զազունյան 1890
Կուզես, այս դեղերն էլ տանեմ դուրս շպրտեմ:		Զազունյան 1890
- Եվ լավ կանես:		Զազունյան 1890
Զաքարը մոտեցավ դռանը:		Զազունյան 1890
- Կա՛րապետ, Կա՛րապետ,- կանչեց նա դեպի դուրս:		Զազունյան 1890
Ծառան ներս մտավ:		Զազունյան 1890
- Այս բոլոր դեղերը հավաքիր և դուրս տար իսկույն…		Զազունյան 1890
ուզում ես ինքդ խմիր, ուզում ես թափիր:		Զազունյան 1890
Կարապետն ատամները ցույց տվեց և սկսեց հավաքել սեղանի վրայից դեղերի սրվակները:		Զազունյան 1890
- Արամիկն ո՞ւր է, Արամիկը,- հանկարծ մտաբերելով հարցրեց Աննան,- կանչեցեք տեսնեմ:		Զազունյան 1890
Ինչպես մոռացել էի:		Զազունյան 1890
Իմ սիրելի Արամիկը…		Զազունյան 1890
- Լսիր,- դարձավ Զաքարը ծառային, որ սրվակները դուրս էր տանում:		Զազունյան 1890
- Մաշային կասես, որ Արամիկին իսկույն այստեղ բերի:		Զազունյան 1890
Ծառան դուրս գնաց:		Զազունյան 1890
այն նիհարիկն ու չարաճճի՞ն:		Զազունյան 1890
- Նիհարիկն ու չարաճճի՞ն:		Զազունյան 1890
Այժմ ինձնից էլ չաղ ու ինձնից էլ խելոք է:		Զազունյան 1890
Դու էլ խո այնքան գովում էիր նրան նամակներիդ մեջ, էմմա:		Զազունյան 1890
Դժբախտաբար նրա պատկերը կորցրել եմ, մի օր ամբողջ տունը տակնուվրա արի, չկարողացա գտնել:		Զազունյան 1890
- Ձեզ փեշքեշ,- ասաց Զաքարը ծիծաղելով:		Զազունյան 1890
Իրավ, ի՜նչ մեծացել է, ի՜նչ գեղեցկացել,- ասում էր նա, սեղմելով նրան կրծքին:		Զազունյան 1890
- Հա՛, հա՜, աչքով չտաք,- իր կողմից վրա բերեց Զաքարը և իր սովորության համեմատ բարձրաձայն ծիծաղեց:		Զազունյան 1890
- Մի վախենաք, աչքս թեթև է,- պատասխանեց Աննան և շարունակեց սիրով և հրճվանքով նայել Արամիկին:		Զազունյան 1890
Արամիկը նստեց Աննայի ծնկան վրա, զարմացած և հետաքրքրությամբ նայում էր նրան.		Զազունյան 1890
շրթունքները սեղմել էր իրար և այտերը փքել.		Զազունյան 1890
- Ի՞նչ ես ինձ այդպես նայում, ինձ չե՞ս ճանաչում հարցրեց,- Աննան:		Զազունյան 1890
- Ոչ,- գլուխը բացասական կերպով շարժելով, հապաղելով պատասխանեց Արամիկը և շարունակեց նայել նրան:		Զազունյան 1890
- Ես քո մամայի քույրիկն եմ:		Զազունյան 1890
կարծես ուզում էր որևէ նմանություն գտնել նրանց միջև:		Զազունյան 1890
- Այո, իմ քույրիկն է, Արամիկ, իմ քույրիկն է,- ժպտալով հաստատեց մայրը:		Զազունյան 1890
Արամիկը դարձյալ նայեց Աննային:		Զազունյան 1890
- Հապա ինչո՞ւ առաջ դուք չէիք գալիս մեր տուն,- հարցրեց նա:		Զազունյան 1890
- Որովհետև մայրիկդ ինձ միշտ ծեծում էր,- պատասխանեց Աննան կատակով:		Զազունյան 1890
Երեխան չհասկացավ կատակը, նա կիտեց հոնքերը և այտերը փքեց:		Զազունյան 1890
- Ճիշտ չէ,- կարծես վիրավորված ասաց նա:		Զազունյան 1890
- Մամաս ոչ ոքի չի ծեծում.		Զազունյան 1890
- գուցե բարկացել է ձեզ վրա, ինչպես անցյալ օրը…		Զազունյան 1890
Նա լռեց և այտերը բոլորովին փքեց:		Զազունյան 1890
- Ի՞նչ, ի՞նչ անցյալ օրը,- ծիծաղը զսպելով, հարցուփորձ արավ Աննան:		Զազունյան 1890
- Բարկացավ ինձ վրա,- կամաց ասաց Արամիկը և գլուխը կախեց:		Զազունյան 1890
երևի չարություն էիր արել:		Զազունյան 1890
- Ոչ, ես ոչ մի չարություն չէի արել, այլ ուրախ-ուրախ ներս վազեցի նրա մոտ…		Զազունյան 1890
նա տխուր նստած էր…		Զազունյան 1890
հանկարծ բարկացավ ինձ վրա…		Զազունյան 1890
հրամայեց, որ իսկույն դուրս գնամ և…		Զազունյան 1890
փչացած տղա անվանեց…		Զազունյան 1890
Նրա ձայնը դողաց և նա, հանկարծ դեմքն ամուր սեղմելով Աննայի կրծքին, սկսեց հեկեկալ:		Զազունյան 1890
Հայրը, մայրը և Աննան սկսեցին ծիծաղել:		Զազունյան 1890
- Իսկապես որ չար և փչացած տղա,- կանչեց Զաքարը:		Զազունյան 1890
- Ինչպես միտն է պահել:		Զազունյան 1890
Մեծասիրտ, վիրավորանք չի ուզում տանել:		Զազունյան 1890
Ներողություն խնդրելով, նա դուրս գնաց հյուրին պատվելու պատրաստություններ տեսնելու:		Զազունյան 1890
- Ձեր հագուստը բոլորովին փչացրի, թողեք ինձ իջնեմ,- ասաց նա:		Զազունյան 1890
- Ա՛յ խորամանկ,- կանչեց նա,- ուզում ես փախչել և ա՞յդ ես հնարում:		Զազունյան 1890
Նա պինդ համբուրեց նրա երկու այտն էլ և ցած դրեց:		Զազունյան 1890
- Դեհ, գնա խաղա:		Զազունյան 1890
ինձ այսուհետև միշտ մորաքույր կանչիր, իմացա՞ր:		Զազունյան 1890
- Եվ կսիրե՞ս ինձ ինչպես մամայիդ:		Զազունյան 1890
- Ինչո՞ւ չեմ սիրի:		Զազունյան 1890
- Ես քեզ համար միշտ քաղցրեղեն կբերեմ:		Զազունյան 1890
- Ի՞նչ եմ անում քաղցրեղենը:		Զազունյան 1890
- Որովհետև մամաս ասում է, որ քաղցրեղենը վնաս է ատամներին:		Զազունյան 1890
- Տեսնո՞ւմ ես սրան…		Զազունյան 1890
Բաս ետ տուր իմ տվածը:		Զազունյան 1890
Արամիկը մեկնեց նրան նրա տված քաղցրեղենը:		Զազունյան 1890
Աննան դիտմամբ դեմքը խոժոռեց:		Զազունյան 1890
- Դու ինձ վիրավորում ես,- ասաց նա ծանր:		Զազունյան 1890
- Ի՞նչ անեմ, դուք ինքներդ եք ետ ուզում, ես էլ տալիս եմ:		Զազունյան 1890
Աննան չկարողացավ չծիծաղել:		Զազունյան 1890
- Լավ, այդ մեկը տար կեր, այդ վնաս չէ,- ասաց մայրը:		Զազունյան 1890
Արամիկը դարձավ և դիմեց դեպի դուսը:		Զազունյան 1890
- Սպասիր,- կանչեց նրա ետևից Աննան:		Զազունյան 1890
Արամիկը կանգ առավ:		Զազունյան 1890
- Ուրեմն դու ինձ առանց քաղցրեղենի է՞լ կսիրես,- հարցրեց Աննան:		Զազունյան 1890
- Եթե դուք ինձ սիրեք, ես էլ ձեզ կսիրեմ:		Զազունյան 1890
Աննան մտահոգությամբ նայեց նրա ետևից, կամաց հառաչեց և գնաց նստեց իր տեղը:		Զազունյան 1890
- Երանի քեզ, էմմա,- ասաց նա.		Զազունյան 1890
- ինչքա՜ն երջանիկ ես դու…		Զազունյան 1890
ե՞ս եմ, որ չգիտեմ ո՛ր մեղքիս համար զրկված եմ մի այդպիսի բախտավորությունից:		Զազունյան 1890
Հանկարծ նա ժպտաց և նայեց Աննային:		Զազունյան 1890
- Ուզո՞ւմ ես քեզ տամ,- ասաց նա:		Զազունյան 1890
- Է՛հ, տվողն աստված է, դու ինձ ի՞նչ պետք է տաս,- տխուր պատասխանեց Աննան:		Զազունյան 1890
Ի՞նչ կյանք է ամուսնացած կնոջ կյանքն առանց երեխայի:		Զազունյան 1890
Ի՞նչ զգացմունք, ի՞նչ երջանկություն կարող է հասնել մայրական զգացմունքին, մայրական երջանկությանը:		Զազունյան 1890
Ամեն ինչ, ամեն տեսակ զգացմունք խախուտ և անցողական է, բացի մայրական զգացմունքից:		Զազունյան 1890
Մարդկանց մեջ ամենաերջանիկը մայրն է:		Զազունյան 1890
Գիտե՞ս, թե ես քեզ որքան նախանձում եմ, էմմա:		Զազունյան 1890
Նա կարծես նոր տեսավ էմմայի դեմքի տխուր, մտախոհ արտահայտությունը:		Զազունյան 1890
Նա կամաց թեքվեց դեպի նրա դեմքը:		Զազունյան 1890
իզո՞ւր,- հարցրեց նա ծանրությամբ:		Զազունյան 1890
էմման թեթև հառաչեց և չպատասխանեց:		Զազունյան 1890
Աննան արագ վեր կացավ աթոռի վրայից և նստեց նրա անկողնի վրա:		Զազունյան 1890
Նա առավ ընկերուհու ձեռքը և աչքերը հառեց նրա աչքերին:		Զազունյան 1890
- էմմա, դու շատ ուրիշ տեսակ ես երևում,- ասաց նա առաջվանից ավելի ծանր:		Զազունյան 1890
- Դու խորհրդավոր ես…		Զազունյան 1890
ես քեզ չեմ հասկանում…		Զազունյան 1890
Ի՞նչ է պատահում քեզ:		Զազունյան 1890
Էմման հանկարծ իր կողմից նայեց նրան դեռ լուրջ, հետո ժպտաց:		Զազունյան 1890
Աննան դրանով չխաբվեց:		Զազունյան 1890
Նա իրեն մինչև անգամ առողջացած էր զգում:		Զազունյան 1890
Աննան տեսնելով, որ իր կասկածանքն, ըստ երևույթին, հիմք չունի, դադարեց նրան դիտելուց:		Զազունյան 1890
Սկսվեց մի քաղցր և անվերջ զրույց:		Զազունյան 1890
Զաքարը, տեսնելով, որ կնոջ դրությունը շատ լավ է, ուրախությունից ոտի վրա չէր կանգնում:		Զազունյան 1890
Բավական ուշ էր, որ Աննան պատրաստվեց տուն գնալու:		Զազունյան 1890
Էմման խնդրեց նրան, որ հետևյալ օրն առավոտյան այցելի իրեն:		Զազունյան 1890
- Լույսը չծագած, ես այստեղ եմ,- ասաց Աննան:		Զազունյան 1890
Մինչև փողոցի դուռը Զաքարն իջավ նրա հետ:		Զազունյան 1890
Այնտեղ նա ամուր սեղմեց Աննայի ձեռքը:		Զազունյան 1890
- Անչափ շնորհակալ եմ ձեզնից, տ.		Զազունյան 1890
Աննա,- ասաց նա զգացված:		Զազունյան 1890
- Ձեզ աստված է ուղարկել, որ էմմային առողջացնեք, իսկ ինձ ազատեք հուսահատությունից:		Զազունյան 1890
Աննան մտավ նրա մոտ և մանրամասն հարցուփորձ արեց էմմայի հիվանդության մասին:		Զազունյան 1890
Աննան մտածման մեջ ընկավ:		Զազունյան 1890
Թեյը խմելուց հետո Զաքարը գնաց, խնդրելով նրան, որ Էմմային մենակ չթողնի:		Զազունյան 1890
Աննան մտավ էմմայի ննջարանը:		Զազունյան 1890
Էմման դարձյալ քնած էր:		Զազունյան 1890
Հուշիկ քայլերով մոտեցավ նրա մահճակալին և նստեց աթոռի վրա:		Զազունյան 1890
