Sentence	Source
మా విప్లవ చైతన్యం మొక్క పోగొడుతున్న నిగూఢ శత్రువులు మీరు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఇంత పెద్ద మాట నాదిలే….	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
వెలమ వారి పంక్తి చేసుక్కూర్చున్నారు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అయితే ఒక నాడేనా సరిగ్గా తేల్చుకోగలిగేరా యని నా అనుమానం.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
కాని అతడు తేల్చుకొని తన నిర్ణయం కూడా చెప్పేసేడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆ విధంగా మీ పార్టీకి ప్రాణం పోశారు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
లేకపోతే యీ వేళ కేరళలో చేసినపనే పదిహేనేళ్ళ క్రితం తెలుగుదేశంలో చేసి వుండేవారు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆనాటి ఘటనల ఙ్ఞాపకంతో జానకి ప్రశ్నించింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఏమన్నాడు? నిన్ను కాడికి కట్టిస్తానన్నాడా?	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అల్లా అన్నా అదో అందం.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆ మాట వినేసరికి నాకు కంపరం పుట్టుకొచ్చింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మళ్ళీ యీ గుమ్మం తొక్కేవంటే గరిట కాల్చి వాత బెట్టేస్తా.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అతడు చూస్తుండగానే పనిపిల్లచేత అతడు కూర్చున్నచోటు వేణ్ణీళ్ళతో కడిగించా.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
జానకి కళ్ళు చక్రాల్లా అయాయి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మరింకెప్పుడూ యీ గుమ్మం తొక్కలేదు	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అని భద్ర తన కథ ముగించింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
జానకి అదివిని ఒక్కక్షణం నిర్వాక్కురాలే అయింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఒక్క క్షణం పోయాక అంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మీ బావ కూడా అదే అన్నారు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆయనకి చెప్పిన సమాధానమే నీకూను.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మీ రాజకీయాలు పదట కలపండి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మీ లెఫ్ట్ రైట్‌లతో నాకేం పనిలేదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
పశువులకి రాజకీయాలెందుకు? వాటికి అవేమీ తెలియవు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
వాటి ఆవేశాలూ, అభిమానాలూ అన్నీ యెలిమెంటల్.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
కాని, ఈ మనుష్య పశువులు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆవేశంలో భద్ర కంఠం నిండి వచ్చింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ప్రపంచగతిని అర్థం చేసుకోడం లేదని వాళ్ళని అంటున్నాం.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మనంమాత్రం వాళ్ళని అర్థం చేసుకొంటున్నామా?	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
భద్రకు ఆ మాటలు నచ్చలేదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మీ బావా అల్లాగే అన్నారు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
కాని, మీ ఆలోచనలు పెడదారి పట్టేయి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
దానికి మొదట బలి అయిపోయేది మీరే.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆ బక్కకోపం, కసీ మామూలు మనిషిలో అయితే నువ్వు అన్నదే.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అనేక సందర్భాలలో వ్యక్తిగత ప్రతీకార వాదాన్ని నిరసిస్తూ తానూ ఇల్లాగే వాదించింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మావో నాశనం చేసింది కమ్యూనిస్టుల్నీ, కమ్యూనిస్టు పార్టీనే.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
నా అనుమానం ప్రజలలో పుట్టిన అపవాదు వుట్టిదై వుండదనే.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
విశ్వం మరణం గురించిన ప్రవాదాన్నే భద్ర ఉటంకిస్తున్నదని జానకి గ్రహించింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అనుమానాలతో, దేశాన్ని నాశం చెయ్యవద్దంటున్నాం.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంటూనే రుజువులేని అనుమానాలతో యెవరిమీదనో నిందవేయడం మంచిది కాదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అక్కా లేదు బొక్కా లేదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
పల్లెటూరి జీవితంలో మాటలు, ఆలోచనలు అన్నీ మోటుదేలిపోయాయి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఇప్పుడేం చెప్పీ లాభం లేదనిపించింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
కాని సత్యానందంతో మాట వచ్చినప్పుడు అంత తేలిగ్గా తోసెయ్యలేక పోయింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఏమిటిది బావా? మీ అభిప్రాయాలు మంచివో, చెడ్డవో ఇంట్లో ఆడవాళ్ళకి నచ్చచెప్పుకోనక్కర్లేదా?	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఒకనాడు పెద్దవాళ్ళనీ, ఆచారాల్నీ ధిక్కరించి భార్యల్ని ప్రపంచంలోకి తెచ్చింది వీళ్ళేనా?.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అనిపించి జానకి నిర్విణ్ణురాలే అయింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
కొడితే తప్ప ఆడదానికి ఏదీ అర్థం కాదనేనా నీ ఆలోచన….	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
సత్యానందం తన తొందరపాటుకు సిగ్గుపడ్డాడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ప్రపంచంలో అందరూ ఒకే స్థాయికి పెరుగుతున్నారనుకుంటున్నావేమిటి?	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అని ఎకసక్కెం చేసి తప్పించుకో చూసేడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అక్కయ్యని ఇతరుల స్థాయికి దిగతియ్యడానికి నువ్వు ఏ మార్గం అవలంబించేవో గాని….	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
సత్యానందానికి ఈమాటు మాట తోచలేదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మోటుగా, కోపంగా నోరు చేసుకొందేగాని భద్ర యెదుర్కోలు న్యాయమేనంటాను.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
సంఘంలో ఇదివరకు జరిగింది న్యాయమా అంటే మనుష్యుల దృష్ట్యా కాదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
కాని, ఆ అన్యాయం నేడూ సాగడం సంఘం దృష్ట్యా కూడా సరికాదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆ అన్యాయం ఒక సాంఘిక న్యాయంగా, ధర్మంగా మన రక్తమాంసాలలో జీర్ణించిపోయింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
దానిని వదల్చుకొనేందుకు ప్రయత్నాలు సాగుతూనే వున్నాయి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
సత్యానందం ఒక్క నిముషం ఆగేడు!	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
కాని, దానికి మార్గం నన్నో, మరొకరినో వురి తియ్యడం కాదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
నన్నూ మరికొందరినీ తోడు తెచ్చుకోవాలిగాని.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
నిజంచేత మేము తమతో కూడా వున్నవాళ్ళమేగాని వ్యతిరేకులం కాదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
నోటివట్టం మాట పట్టుకొని సాగదియ్యకు బావా! జాన్ నిన్ను వురి తియ్యలేడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఖమ్మంలో హరిజనయువకుడి చేతులకి కిరసనాయలు గుడ్డలు చుట్టి వెలిగించేరు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఒంగోలువద్ద వూళ్ళో చెరువుకి మంచి నీళ్ళకు వస్తే పొడిచి చంపేరు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
కంచికిచెర్లలో కిరసనాయిలు మీదపోసి అంటించేరు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఈ దౌర్జన్యాలని సమర్థించినవాడు మంత్రిగానే వున్నాడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అని జానకి మనస్సులోనే ఆక్రోశించింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంటూ వచ్చిన సాధనను భద్ర దగ్గరకు పిలిచింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఏం చేస్తున్నారు మీరంతా? ఒక్కరూ కనబడ్డం లేదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అత్తయ్య యెవరే? జానకా? మంచి వరసే కలిపేవు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అని తన మనస్సులోని సమస్యను ఎగతాళిలోకి మార్చి భద్ర నవ్వింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆవిడ మీ నాన్నని ఏమని పిలుస్తుంది? నన్నే మంటుంది? నువ్వా పిలుపేమిటి?	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
నాన్నగారు ఆమెకు ఏమన్నా మేనబావా? నువ్వు అక్కవా? ఆ పిలుపు ఆవిడకి బాగుంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
నాకు ఇల్లా పిలవడమే బాగుంది సుమా!	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
బాగుందర్రా మీరూ, మీ వాలకాలూ.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అని భద్ర నవ్వేసిందే గాని, అంతకన్న లోతుకు పోలేకపోయింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
బావ కెమేరాలోకి ఫిలిం అడిగి తెమ్మన్నాడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
భద్ర చాలాసేపు అక్కడే కూర్చుని తన మనస్సులో కలిగిన భయం గురించి ఆలోచిస్తూంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
జానకి నిద్ర తెలివి వచ్చేసరికి ఇంట్లో యెక్కడా మనుషుల అలికిడే వినిపించలేదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
గది అంతా చీకటిగా వుంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
తలుపుల సందుల్లోంచి వస్తున్న మసకవెలుతురు బట్టి వేళ తెలియడంలేదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
బహుశా తెల్లవారుతున్నదనుకొని చటుక్కున లేచింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
గది తలుపులు తెరిచేసరికి అర్థం అయింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
స్నానాల గదిలోకి వెళ్ళి ముఖం కడుక్కు వస్తూంటే పనిమనిషి యెదురు అయింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
పనిమనిషితో ‘పిలుచుకు రమ్మ’ని చెప్తూండగా భద్రే మెట్లపైన కనిపించింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
‘లేచావా?’ అని పలకరిస్తూ దిగి వచ్చింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఎంతసేపు పడుకున్నావో తెలుసా? రెండున్నరకి పడుకున్నావు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఈ లోపున రెండు మాట్లు వచ్చి చూసిపోయా.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మంచం పక్కనే టేబిల్ మీద ఫ్లాస్కులో కాఫీ పోశాను.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
భద్ర కాఫీ కప్పుల్లో పోసి ఒకటి ఆమెకిచ్చి, వేరొకటి తాను తీసుకొంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
జానకి మంచం మీద కూర్చుని కాఫీ చప్పరించింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
తాజా పాలతో చేసినదని రుచి చెప్తూంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
పనిమనిషో, నేనో పాలు తీస్తాం.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఇంతకీ పిల్లలేరీ? ఒక్కరి మాటా వినబడదు?	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆక్విడక్టు చూస్తామని అంతా బయలుదేరి వెళ్ళారు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
పెద్దవాళ్లెవరూ లేకుండానా? అల్లరి చేసి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మాట అనేశాక భద్రకే నవ్వు వచ్చింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
జానకికి పల్లెటూళ్ళ భయం వొకందుకు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
భద్రకు పట్టణం భయం వేరొకందుకు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
తన అసందర్భ భయాన్ని కమ్ముకొనేందుకు వాళ్ళ ప్రయాణపు హడావిడిని భద్ర వర్ణించింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
పిల్లలంతా యెక్కడెక్కడి వాళ్ళూ చుట్టూచేరి రొట్టలేస్తున్నారు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
కొడుకు స్వభావాన్ని తలచుకొని జానకి చిరునవ్వు నవ్వింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
నువ్వు నన్ను అక్కయ్యా అంటావు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అతగాడికి మాత్రం నేను అత్తయ్యని.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
తన మనస్సులో దొలుస్తున్న అనుమానాన్ని ఏదో విధంగా భద్ర బయట పెట్టేసింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
సాధన, పిల్లలూ కూడ నన్ను అల్లాగే పిలుస్తున్నారు సుమీ.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
సాధనేమందో తెలుసా? నీకైనా ఆవిడ చెల్లెలు కావడానికి తోడబుట్టిందా ఏమన్నానా? అదో పిలుపు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మాకు ఈ పిలుపే బాగుందంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అదెప్పుడు! ఆ మాట యెందుకు వచ్చింది?	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
భద్ర ముఖంలో ఏదో బాధ కనబడుతూంటే జానకి సర్దుబాటుగా మాట్లాడింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
దానికి పెద్ద విలువ ఇస్తున్నావేమిటి కొంపదీసి?	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
వాని తండ్రి నాకు మేనత్త కొడుకు? అంటే వాళ్ళిద్దరూ అన్నా చెల్లెలూను.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
కాదే బాబూ! మనస్సులోని ఆలోచనలకు మాటలు ప్రతిధ్వనులు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
రవీంద్రకూ, సాధనకూ వావి కుదిరితే నా అంత సంతోషపడేది వుండదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
కాని, చెల్లెలు వావి చెప్పకూడదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఈ మారు ఆమెకు నవ్వు రాలేదు!	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
రేపో, యెల్లుండో లేచి పోతున్న వాడిని ఏమని పిలిస్తేనేమిటి, నీ వెర్రిగాని.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
జానకి మాట అర్ధం కొద్దిసేపటికిగాని భద్రకు అర్ధం కాలేదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అర్ధం అయ్యాక చాల నొచ్చుకుంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆ వయస్సులో అచ్చం అల్లాగే వుండేవాడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అందుచేతనే ఆ పిలుపు ఏమిటో ఎబ్బెట్టు అనిపిస్తూంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
తమ రాక విషయంలో భద్రకు అయిష్టం ఏమాత్రమూ లేదని జానకికి నమ్మకమే.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
లేనిపోని ఆలోచనలు పెట్టుకొని, వాళ్ళ మనస్సులలో గంద్రగోళం సృష్టించకు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అన్నా, చెల్లాయీ అంటే ఆడ, మగ పొడిములు ఉడిగిపోవు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
బావా, మరదలూ అంటేనే బయటపడవు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
భద్ర ఏ సమాధానమూ ఇచ్చేలోపున పది పద్దెనిమిదేళ్ళ పిల్ల ఒకామె సావిట్లోంచి పిలిచింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
వాళ్ళంతా కలసి ఆక్విడక్టు చూడబోయేరే.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అయినా ఆ అమ్మాయి ఒకటి రెండు నిముషాలు అక్కడే వేళ్ళాడి, వెళ్ళిపోయింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆమె వెళ్ళిపోయాక గాని భద్ర తన పొరపాటును తెలుసుకోలేదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
గబగబా వీధిలోకి వెళ్లి చూసింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆ అమ్మాయి యెవరు అనేనా అడిగేవు కాదేమే?	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆ పిల్ల ఎవరో ఎరుగుదువా? అన్నపూర్ణ.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆ పేరు చెప్తే చాలునన్నట్లు జానకి ముఖం చూసింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
నిన్ను చూడాలనే వచ్చిందో ఏమో? నాకా ఆలోచనే తట్టలేదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఎరిగీ పలకరించలేదనుకుంటారో ఏమో ఖర్మ.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
